;Date;key;sigma;moneyness;maturity;dividend yield;risk-free rates;spot
0;04/01/2005;80_30;14,69;80;30;2;2;1188,05
1;05/01/2005;80_30;14,65;80;30;2;2;1183,74
2;06/01/2005;80_30;14,25;80;30;2;2;1187,89
3;07/01/2005;80_30;13,83;80;30;2;2;1186,19
4;10/01/2005;80_30;13,6;80;30;2;2;1190,24
5;11/01/2005;80_30;13,69;80;30;2;2;1182,99
6;12/01/2005;80_30;13,22;80;30;2;2;1187,7
7;13/01/2005;80_30;13,45;80;30;2;2;1177,45
8;14/01/2005;80_30;12,98;80;30;2;2;1184,52
9;18/01/2005;80_30;12,85;80;30;2;2;1195,98
10;19/01/2005;80_30;13,58;80;30;2;2;1184,63
11;20/01/2005;80_30;14,43;80;30;2;2;1175,41
12;21/01/2005;80_30;14,79;80;30;2;2;1167,87
13;24/01/2005;80_30;15,23;80;30;2;2;1163,75
14;25/01/2005;80_30;14,75;80;30;2;2;1168,41
15;26/01/2005;80_30;14,17;80;30;2;2;1174,07
16;27/01/2005;80_30;13,95;80;30;2;2;1174,55
17;28/01/2005;80_30;14,13;80;30;2;2;1171,36
18;31/01/2005;80_30;12,82;80;30;2;2;1181,27
19;01/02/2005;80_30;12,63;80;30;2;2;1189,41
20;02/02/2005;80_30;12,57;80;30;2;2;1193,19
21;03/02/2005;80_30;12,51;80;30;2;2;1189,89
22;04/02/2005;80_30;12,06;80;30;2;2;1203,03
23;07/02/2005;80_30;12,65;80;30;2;2;1201,72
24;08/02/2005;80_30;12,41;80;30;2;2;1202,3
25;09/02/2005;80_30;12,47;80;30;2;2;1191,99
26;10/02/2005;80_30;12,45;80;30;2;2;1197,01
27;11/02/2005;80_30;12,2;80;30;2;2;1205,3
28;14/02/2005;80_30;12,45;80;30;2;2;1206,14
29;15/02/2005;80_30;11,64;80;30;2;2;1210,13
30;16/02/2005;80_30;11,59;80;30;2;2;1210,34
31;17/02/2005;80_30;12,19;80;30;2;2;1200,75
32;18/02/2005;80_30;11,7;80;30;2;2;1201,59
33;22/02/2005;80_30;13,47;80;30;2;2;1184,16
34;23/02/2005;80_30;12,91;80;30;2;2;1190,8
35;24/02/2005;80_30;12,31;80;30;2;2;1200,2
36;25/02/2005;80_30;11,94;80;30;2;2;1211,37
37;28/02/2005;80_30;13,32;80;30;2;2;1203,6
38;01/03/2005;80_30;12,63;80;30;2;2;1210,41
39;02/03/2005;80_30;13,34;80;30;2;2;1210,08
40;03/03/2005;80_30;13,37;80;30;2;2;1210,47
41;04/03/2005;80_30;13;80;30;2;2;1222,13
42;07/03/2005;80_30;13,16;80;30;2;2;1225,31
43;08/03/2005;80_30;13,4;80;30;2;2;1219,43
44;09/03/2005;80_30;13,6;80;30;2;2;1207,01
45;10/03/2005;80_30;13,57;80;30;2;2;1209,25
46;11/03/2005;80_30;13,39;80;30;2;2;1200,08
47;14/03/2005;80_30;13,4;80;30;2;2;1206,83
48;15/03/2005;80_30;14,03;80;30;2;2;1197,75
49;16/03/2005;80_30;14,41;80;30;2;2;1188,07
50;17/03/2005;80_30;13,67;80;30;2;2;1190,21
